step,wall_s,eval/episode_reward,eval/coverage,eval/collision_rate,eval/avg_episode_length,eval/episode_collision,eval/episode_collision_std,eval/episode_coverage,eval/episode_coverage_std,eval/episode_reward_collision,eval/episode_reward_collision_std,eval/episode_reward_cover,eval/episode_reward_cover_std,eval/episode_reward_std,eval/episode_reward_time,eval/episode_reward_time_std,eval/epoch_eval_time,eval/sps,eval/std_episode_length,eval/walltime
0,62.11,-2.764072895050049,0.1631944477558136,0.04398435354232788,600.0,0.04398435354232788,0.06566470116376877,0.1631944477558136,0.0589255690574646,-2.6390628814697266,3.939887285232544,5.875,2.1213202476501465,3.966336250305176,-6.0000433921813965,9.5367431640625e-07,32.52587699890137,2361.1969018573764,0.0,32.52587699890137
163840,123.98,1.1546539068222046,0.2480469048023224,0.029583318158984184,600.0,0.029583318158984184,0.07972085475921631,0.2480469048023224,0.10686234384775162,-1.774998426437378,4.783243179321289,8.9296875,3.847043514251709,5.775201320648193,-6.0000433921813965,9.5367431640625e-07,32.569785833358765,2358.013663121468,0.0,65.09566283226013
327680,155.45,4.42024040222168,0.3250868320465088,0.021380197256803513,600.0,0.021380197256803513,0.08338405936956406,0.3250868320465088,0.1221393495798111,-1.2828102111816406,5.003024578094482,11.703125,4.39701509475708,7.039450168609619,-6.0000433921813965,9.5367431640625e-07,6.330653667449951,12131.448667754366,0.0,71.42631649971008
491520,163.14,8.16005802154541,0.4355469346046448,0.025325510650873184,600.0,0.025325510650873184,0.03831012547016144,0.4355469346046448,0.12315060943365097,-1.519531011581421,2.2986090183258057,15.6796875,4.433420181274414,4.584231376647949,-6.0000433921813965,9.5367431640625e-07,6.028846979141235,12738.754237039799,0.0,77.45516347885132
655360,171.58,10.86551570892334,0.5833334922790527,0.06890621036291122,600.0,0.06890621036291122,0.11774113774299622,0.5833334922790527,0.13927903771400452,-4.134373664855957,7.0644636154174805,21.0,5.014042854309082,9.65128231048584,-6.0000433921813965,9.5367431640625e-07,6.798912048339844,11295.924914744706,0.0,84.25407552719116
819200,179.12,13.510046005249023,0.6801217794418335,0.08290359377861023,600.0,0.08290359377861023,0.08731353282928467,0.6801217794418335,0.11175946891307831,-4.974221229553223,5.238825798034668,24.484375,4.023338794708252,7.214310169219971,-6.0000433921813965,9.5367431640625e-07,5.939757585525513,12929.820601964047,0.0,90.19383311271667
983040,186.81,15.93895435333252,0.7671443223953247,0.09463535249233246,600.0,0.09463535249233246,0.09623502194881439,0.7671443223953247,0.10094090551137924,-5.678128242492676,5.774117946624756,27.6171875,3.633870840072632,7.577262878417969,-6.0000433921813965,9.5367431640625e-07,6.079381465911865,12632.864121231867,0.0,96.27321457862854
1146880,194.72,17.235824584960938,0.8385419845581055,0.11585929989814758,600.0,0.11585929989814758,0.10597217828035355,0.8385419845581055,0.1010381355881691,-6.951566696166992,6.358349323272705,30.1875,3.637371063232422,7.899158477783203,-6.0000433921813965,9.5367431640625e-07,6.2495338916778564,12288.91647459823,0.0,102.5227484703064
1310720,202.91,17.340511322021484,0.8713110685348511,0.13377593457698822,600.0,0.13377593457698822,0.12043791264295578,0.8713110685348511,0.11314714699983597,-8.026568412780762,7.226292610168457,31.3671875,4.073295593261719,9.295516014099121,-6.0000433921813965,9.5367431640625e-07,6.264312505722046,12259.924761072847,0.0,108.78706097602844
